RedFighter,BlueFighter,Winner
Dan Argueta,Jean Matsumoto,Blue
Dylan Budka,Cesar Almeida,Blue
Melissa Mullins,Nora Cornolle,Blue
Erin Blanchfield,Manon Fiorot,Blue
Vicente Luque,Joaquin Buckley,Blue
Chris Weidman,Bruno Silva,Red
Nursulton Ruziboev,Sedriques Dumas,Red
Bill Algeo,Kyle Nelson,Blue
Chidi Njokuani,Rhys McKee,Red
Nate Landwehr,Jamall Emmers,Red
Virna Jandiroba,Loopy Godinez,Red
Julio Arce,Herbert Burns,Red
Dennis Buzukja,Connor Matthews,Red
Ibo Aslan,Anton Turkalj,Red
Andre Petroski,Jacob Malkoun,Blue
Angel Pacheco,Caolan Loughran,Blue
Erin Blanchfield,Manon Fiorot,Blue
Vicente Luque,Joaquin Buckley,Blue
Chris Weidman,Bruno Silva,Red
Nursulton Ruziboev,Sedriques Dumas,Red
Bill Algeo,Kyle Nelson,Blue
Chidi Njokuani,Rhys McKee,Red
Nate Landwehr,Jamall Emmers,Red
Virna Jandiroba,Loopy Godinez,Red
Julio Arce,Herbert Burns,Red
Dennis Buzukja,Connor Matthews,Red
Ibo Aslan,Anton Turkalj,Red
Andre Petroski,Jacob Malkoun,Blue
Angel Pacheco,Caolan Loughran,Blue
Erin Blanchfield,Manon Fiorot,Blue
Vicente Luque,Joaquin Buckley,Blue
Chris Weidman,Bruno Silva,Red
Nursulton Ruziboev,Sedriques Dumas,Red
Bill Algeo,Kyle Nelson,Blue
Chidi Njokuani,Rhys McKee,Red
Nate Landwehr,Jamall Emmers,Red
Virna Jandiroba,Loopy Godinez,Red
Julio Arce,Herbert Burns,Red
Dennis Buzukja,Connor Matthews,Red
Ibo Aslan,Anton Turkalj,Red
Andre Petroski,Jacob Malkoun,Blue
Angel Pacheco,Caolan Loughran,Blue
Erin Blanchfield,Manon Fiorot,Blue
Vicente Luque,Joaquin Buckley,Blue
Chris Weidman,Bruno Silva,Red
Nursulton Ruziboev,Sedriques Dumas,Red
Bill Algeo,Kyle Nelson,Blue
Chidi Njokuani,Rhys McKee,Red
Nate Landwehr,Jamall Emmers,Red
Virna Jandiroba,Loopy Godinez,Red
Julio Arce,Herbert Burns,Red
Dennis Buzukja,Connor Matthews,Red
Ibo Aslan,Anton Turkalj,Red
Andre Petroski,Jacob Malkoun,Blue
Angel Pacheco,Caolan Loughran,Blue
Erin Blanchfield,Manon Fiorot,Blue
Vicente Luque,Joaquin Buckley,Blue
Chris Weidman,Bruno Silva,Red
Nursulton Ruziboev,Sedriques Dumas,Red
Bill Algeo,Kyle Nelson,Blue
Chidi Njokuani,Rhys McKee,Red
Nate Landwehr,Jamall Emmers,Red
Virna Jandiroba,Loopy Godinez,Red
Julio Arce,Herbert Burns,Red
Dennis Buzukja,Connor Matthews,Red
Ibo Aslan,Anton Turkalj,Red
Andre Petroski,Jacob Malkoun,Blue
Angel Pacheco,Caolan Loughran,Blue
Erin Blanchfield,Manon Fiorot,Blue
Vicente Luque,Joaquin Buckley,Blue
Chris Weidman,Bruno Silva,Red
Nursulton Ruziboev,Sedriques Dumas,Red
Bill Algeo,Kyle Nelson,Blue
Chidi Njokuani,Rhys McKee,Red
Nate Landwehr,Jamall Emmers,Red
Virna Jandiroba,Loopy Godinez,Red
Julio Arce,Herbert Burns,Red
Dennis Buzukja,Connor Matthews,Red
Ibo Aslan,Anton Turkalj,Red
Andre Petroski,Jacob Malkoun,Blue
Angel Pacheco,Caolan Loughran,Blue
Erin Blanchfield,Manon Fiorot,Blue
Vicente Luque,Joaquin Buckley,Blue
Chris Weidman,Bruno Silva,Red
Nursulton Ruziboev,Sedriques Dumas,Red
Bill Algeo,Kyle Nelson,Blue
Chidi Njokuani,Rhys McKee,Red
Nate Landwehr,Jamall Emmers,Red
Virna Jandiroba,Loopy Godinez,Red
Julio Arce,Herbert Burns,Red
Dennis Buzukja,Connor Matthews,Red
Ibo Aslan,Anton Turkalj,Red
Andre Petroski,Jacob Malkoun,Blue
Angel Pacheco,Caolan Loughran,Blue
Amanda Ribas,Rose Namajunas,Blue
Karl Williams,Justin Tafa,Red
Edmen Shahbazyan,AJ Dobson,Red
Payton Talbott,Cameron Saaiman,Red
Billy Quarantillo,Youssef Zalal,Blue
Fernando Padilla,Luis Pajuelo,Red
Kurt Holobaugh,Trey Ogden,Blue
Ricardo Ramos,Julian Erosa,Blue
Miles Johns,Cody Gibson,Red
Jarno Errens,Steven Nguyen,Red
Montserrat Rendon,Daria Zhelezniakova,Blue
Igor Severino,Andre Lima,Blue
Mohammed Usman,Mick Parkin,Blue
Amanda Ribas,Rose Namajunas,Blue
Karl Williams,Justin Tafa,Red
Edmen Shahbazyan,AJ Dobson,Red
Payton Talbott,Cameron Saaiman,Red
Billy Quarantillo,Youssef Zalal,Blue
Fernando Padilla,Luis Pajuelo,Red
Kurt Holobaugh,Trey Ogden,Blue
Ricardo Ramos,Julian Erosa,Blue
Miles Johns,Cody Gibson,Red
Jarno Errens,Steven Nguyen,Red
Montserrat Rendon,Daria Zhelezniakova,Blue
Igor Severino,Andre Lima,Blue
Mohammed Usman,Mick Parkin,Blue
Amanda Ribas,Rose Namajunas,Blue
Karl Williams,Justin Tafa,Red
Edmen Shahbazyan,AJ Dobson,Red
Payton Talbott,Cameron Saaiman,Red
Billy Quarantillo,Youssef Zalal,Blue
Fernando Padilla,Luis Pajuelo,Red
Kurt Holobaugh,Trey Ogden,Blue
Ricardo Ramos,Julian Erosa,Blue
Miles Johns,Cody Gibson,Red
Jarno Errens,Steven Nguyen,Red
Montserrat Rendon,Daria Zhelezniakova,Blue
Igor Severino,Andre Lima,Blue
Mohammed Usman,Mick Parkin,Blue
Amanda Ribas,Rose Namajunas,Blue
Karl Williams,Justin Tafa,Red
Edmen Shahbazyan,AJ Dobson,Red
Payton Talbott,Cameron Saaiman,Red
Billy Quarantillo,Youssef Zalal,Blue
Fernando Padilla,Luis Pajuelo,Red
Kurt Holobaugh,Trey Ogden,Blue
Ricardo Ramos,Julian Erosa,Blue
Miles Johns,Cody Gibson,Red
Jarno Errens,Steven Nguyen,Red
Montserrat Rendon,Daria Zhelezniakova,Blue
Igor Severino,Andre Lima,Blue
Mohammed Usman,Mick Parkin,Blue
Amanda Ribas,Rose Namajunas,Blue
Karl Williams,Justin Tafa,Red
Edmen Shahbazyan,AJ Dobson,Red
Payton Talbott,Cameron Saaiman,Red
Billy Quarantillo,Youssef Zalal,Blue
Fernando Padilla,Luis Pajuelo,Red
Kurt Holobaugh,Trey Ogden,Blue
Ricardo Ramos,Julian Erosa,Blue
Miles Johns,Cody Gibson,Red
Jarno Errens,Steven Nguyen,Red
Montserrat Rendon,Daria Zhelezniakova,Blue
Igor Severino,Andre Lima,Blue
Mohammed Usman,Mick Parkin,Blue
Amanda Ribas,Rose Namajunas,Blue
Karl Williams,Justin Tafa,Red
Edmen Shahbazyan,AJ Dobson,Red
Payton Talbott,Cameron Saaiman,Red
Billy Quarantillo,Youssef Zalal,Blue
Fernando Padilla,Luis Pajuelo,Red
Kurt Holobaugh,Trey Ogden,Blue
Ricardo Ramos,Julian Erosa,Blue
Miles Johns,Cody Gibson,Red
Jarno Errens,Steven Nguyen,Red
Montserrat Rendon,Daria Zhelezniakova,Blue
Igor Severino,Andre Lima,Blue
Mohammed Usman,Mick Parkin,Blue
Amanda Ribas,Rose Namajunas,Blue
Karl Williams,Justin Tafa,Red
Edmen Shahbazyan,AJ Dobson,Red
Payton Talbott,Cameron Saaiman,Red
Billy Quarantillo,Youssef Zalal,Blue
Fernando Padilla,Luis Pajuelo,Red
Kurt Holobaugh,Trey Ogden,Blue
Ricardo Ramos,Julian Erosa,Blue
Miles Johns,Cody Gibson,Red
Jarno Errens,Steven Nguyen,Red
Montserrat Rendon,Daria Zhelezniakova,Blue
Igor Severino,Andre Lima,Blue
Mohammed Usman,Mick Parkin,Blue
Tai Tuivasa,Marcin Tybura,Blue
Ovince Saint Preux,Kennedy Nzechukwu,Red
Christian Rodriguez,Isaac Dulgarian,Red
Pannie Kianzad,Macy Chiasson,Blue
Gerald Meerschaert,Bryan Barberena,Red
Natan Levy,Mike Davis,Blue
Josiane Nunes,Chelsea Chandler,Blue
Jafel Filho,Ode Osbourne,Red
Josh Culibao,Danny Silva,Blue
Jaqueline Amorim,Cory McKenna,Red
Thiago Moises,Mitch Ramirez,Red
Charalampos Grigoriou,Chad Anheliger,Blue
Tai Tuivasa,Marcin Tybura,Blue
Ovince Saint Preux,Kennedy Nzechukwu,Red
Christian Rodriguez,Isaac Dulgarian,Red
Pannie Kianzad,Macy Chiasson,Blue
Gerald Meerschaert,Bryan Barberena,Red
Natan Levy,Mike Davis,Blue
Josiane Nunes,Chelsea Chandler,Blue
Jafel Filho,Ode Osbourne,Red
Josh Culibao,Danny Silva,Blue
Jaqueline Amorim,Cory McKenna,Red
Thiago Moises,Mitch Ramirez,Red
Charalampos Grigoriou,Chad Anheliger,Blue
Tai Tuivasa,Marcin Tybura,Blue
Ovince Saint Preux,Kennedy Nzechukwu,Red
Christian Rodriguez,Isaac Dulgarian,Red
Pannie Kianzad,Macy Chiasson,Blue
Gerald Meerschaert,Bryan Barberena,Red
